Site_Name,Site_Long_Name,Site_Longitude,Site_Latitude,Thompson_Vs30,3D_CVM_Vs30,Z1.0,Z2.5
"s385","s385",-118.32766,33.85257,333.32,293.8,760.0,3140.0
"s389","s389",-118.22211,34.01,358.52,277.1,600.0,3990.0
"s393","s393",-118.11618,34.16735,350.57,344.4,150.0,1240.0
"s397","s397",-118.00986,34.32461,727.36,654.4,60.0,740.0
"s401","s401",-117.90315,34.48178,805.29,718.7,50.0,610.0
"s470","s470",-118.1391,33.76452,362.86,319.5,630.0,2930.0
"s474","s474",-118.03331,33.9218,352.27,320.7,620.0,3360.0
"s478","s478",-117.92713,34.07899,303.09,281.8,310.0,2690.0
"s482","s482",-117.82056,34.23609,717.89,566.3,70.0,650.0
"s486","s486",-117.7136,34.3931,736.6,664.5,60.0,620.0
"s550","s550",-117.95093,33.67617,219.65,206.9,540.0,4050.0
"s554","s554",-117.84489,33.83329,293.4,267.1,380.0,2250.0
"s558","s558",-117.73847,33.99033,369.04,331.2,260.0,1300.0
"s562","s562",-117.63165,34.14727,351.9,342.5,310.0,1140.0
"s566","s566",-117.52445,34.30413,351.92,341.3,160.0,1490.0
"s632","s632",-117.76313,33.58753,468.05,428.5,140.0,1940.0
"s636","s636",-117.65685,33.7445,351.9,382.3,120.0,830.0
"s640","s640",-117.55019,33.90137,707.34,368.1,150.0,470.0
"s644","s644",-117.44314,34.05816,293.5,316.7,160.0,480.0
"s648","s648",-117.3357,34.21485,729.02,650.4,60.0,1450.0
"s716","s716",-117.57572,33.49859,468.38,431.8,120.0,1990.0
"s720","s720",-117.4692,33.65541,709.98,653.5,50.0,430.0
"s724","s724",-117.3623,33.81213,709.98,659.6,50.0,370.0
"s728","s728",-117.25502,33.96875,351.9,376.7,120.0,610.0
"s732","s732",-117.14734,34.12528,703.12,583.1,60.0,1160.0
"s022","s022",-119.18086,34.24505,296.92,263.5,510.0,4240.0
"s024","s024",-119.12872,34.32412,293.5,262.6,820.0,6870.0
"s026","s026",-119.07648,34.40317,416.11,369.4,310.0,4780.0
"s028","s028",-119.02414,34.4822,468.68,466.5,100.0,390.0
"s030","s030",-118.97171,34.56122,385.31,400.1,90.0,390.0
"s032","s032",-118.91919,34.64021,710.8,667.6,50.0,320.0
"s034","s034",-118.86656,34.71918,351.9,374.8,90.0,390.0
"s036","s036",-118.81384,34.79813,721.45,658.4,50.0,490.0
"s038","s038",-118.76102,34.87706,749.0,674.5,50.0,620.0
"s040","s040",-118.7081,34.95597,739.64,672.6,50.0,490.0
"s064","s064",-119.13779,34.1227,176.11,174.9,720.0,3020.0
"s068","s068",-119.03347,34.28078,394.73,347.4,470.0,2390.0
"s072","s072",-118.92876,34.43879,351.9,316.3,520.0,6210.0
"s076","s076",-118.82367,34.59671,712.02,665.8,50.0,340.0
"s080","s080",-118.71819,34.75456,714.2,437.3,110.0,930.0
"s084","s084",-118.61232,34.91232,715.89,644.0,60.0,930.0
"s109","s109",-118.99059,34.15837,407.35,471.1,150.0,2310.0
"s111","s111",-118.93832,34.23737,351.79,352.7,310.0,3140.0
"s113","s113",-118.88595,34.31634,401.32,369.5,310.0,2970.0
"s115","s115",-118.83348,34.3953,293.5,260.3,1110.0,6100.0
"s117","s117",-118.78092,34.47423,388.42,389.0,200.0,1870.0
"s119","s119",-118.72826,34.55314,719.09,626.0,50.0,440.0
"s121","s121",-118.6755,34.63204,475.92,359.1,310.0,400.0
"s123","s123",-118.62264,34.71091,714.96,650.8,60.0,530.0
"s125","s125",-118.56969,34.78976,293.5,297.6,160.0,1650.0
"s127","s127",-118.51664,34.86859,403.53,389.1,130.0,1460.0
"s153","s153",-118.84326,34.19387,420.26,288.4,310.0,580.0
"s157","s157",-118.73829,34.35172,508.01,424.3,310.0,1810.0
"s161","s161",-118.63294,34.5095,351.9,329.8,310.0,1500.0
"s165","s165",-118.52719,34.66718,723.43,609.9,50.0,350.0
"s169","s169",-118.42106,34.82479,293.5,298.6,160.0,1770.0
"s193","s193",-118.80071,34.07138,373.17,378.4,110.0,520.0
"s195","s195",-118.7483,34.1503,536.14,316.0,310.0,2530.0
"s197","s197",-118.6958,34.2292,502.5,471.6,90.0,600.0
"s199","s199",-118.6432,34.30808,491.2,442.6,310.0,6030.0
"s201","s201",-118.59051,34.38693,469.39,402.7,300.0,2980.0
"s203","s203",-118.53772,34.46577,462.14,288.4,310.0,2010.0
"s205","s205",-118.48483,34.54459,748.98,517.1,90.0,330.0
"s207","s207",-118.43184,34.62338,723.22,675.0,50.0,330.0
"s209","s209",-118.37876,34.70215,352.08,367.0,130.0,980.0
"s211","s211",-118.32557,34.7809,228.2,246.3,170.0,1250.0
"s234","s234",-118.65344,34.10665,504.91,386.2,140.0,1000.0
"s238","s238",-118.54821,34.26435,393.89,357.1,190.0,2650.0
"s242","s242",-118.44259,34.42197,499.37,367.1,220.0,1920.0
"s246","s246",-118.33659,34.5795,716.2,654.2,50.0,490.0
